Protein Domain,AI Domain,Degree,Betweeness,Eigen Closness,Trails,Drugs,Cosmic,Cancer gene,Publications,Class
0,0,0.025,0.00011982,1.18E-04,0,0,0,1,0.000926784,1
0.5,1,0.057894737,0.000442342,1.77E-04,0,0,1,1,0.000926784,1
0,0,0.001315789,0,4.78E-07,0,0,0,1,0.001390176,1
0,0,0.05,0.016126126,1.38E-04,0,0,1,1,0.007414272,1
0,0,0.030263158,0.006990991,6.29E-05,0,0,1,1,0.000463392,1
0,0,0.027631579,0.000954955,2.48E-06,0,0,1,1,0,1
0,0,0.059210526,0.000936937,1.65E-04,0,0,0,1,0.00231696,1
0.5,0,0.072368421,0.000826126,1.21E-04,0,0,1,1,0.001390176,1
0.5,0,0.056578947,0.002036036,7.42E-04,0,0,1,1,0.005560704,1
0,0,0.071052632,0.031531532,9.48E-05,0,0,1,1,0.006487488,1
0,0,0.002631579,0,2.27E-06,0,0,1,1,0,1
0.333333333,0,0.018421053,0.004,3.91E-05,0,0,0,1,0.000463392,1
0,0,0.089473684,0.005441441,2.85E-04,1,0,0,1,0.020389249,1
0,0,0.023684211,0.001567568,2.82E-05,0,0,0,1,0,1
0,0,0.076315789,0.004243243,1.42E-04,0,0,0,1,0.000463392,1
0,0,0.061842105,0.004243243,2.23E-04,1,0,1,1,0.010194625,1
1,0,0.153947368,0.029189189,1.17E-04,0,0,1,1,0.006487488,1
0,0,0.05,0.006792793,7.18E-04,0,0,1,1,0.006487488,1
1,0,0.007894737,0,2.62E-05,0,0,0,1,0,1
0,0,0.015789474,0.000757658,2.90E-05,0,0,0,1,0.000463392,1
0,0,0.096052632,0.010720721,7.05E-04,0,0,1,1,0.000463392,1
1,0,0.021052632,0.001369369,6.65E-05,0,0,1,1,0,1
0,0,0.055263158,0.000165766,1.20E-04,0,0,0,1,0.001390176,1
0,0,0.273684211,0.008539431,0.004359274,0,0,0,1,0,1
0,0,0.067105263,0.008720721,8.87E-05,0,0,1,1,0.001390176,1
1,0,0.025,0.001531532,1.84E-05,0,0,0,1,0.002780352,1
0,0,0.086842105,0.012072072,1.89E-04,1,0,1,1,0.028730306,1
0,0,0.052631579,0.010540541,7.76E-05,1,0,1,1,0,1
0.5,0,0.085526316,0.017927928,1.05E-04,0,0,0,1,0.006487488,1
0.5,0,0.084210526,0.016396396,9.63E-04,0,0,1,1,0.000926784,1
0,0,0.348684211,0.085006904,0.00171536,0,0,0,1,0.036144578,1
1,0,0.060526316,0.001630631,4.95E-05,1,0,1,1,0.000926784,1
0,0,0.042105263,0.012342342,7.60E-05,0,0,0,1,0.001390176,1
0,0,0.131578947,0.031851426,0.005122279,0,0,1,1,0.00463392,1
0.954954955,0,0.111842105,0.017297297,3.06E-04,1,0,1,1,0,1
0,0,0.030263158,0.007459459,2.32E-05,0,0,0,1,0.014365153,1
0,0,0.042105263,0.005117117,1.06E-04,0,0,0,1,0.001853568,1
1,0,0.115789474,0.003243243,5.82E-04,0,0,0,1,0,1
0,0,0.013157895,6.98E-05,1.37E-04,1,0,1,1,0.00231696,1
0,0,0.028947368,0.000651351,1.50E-04,0,0,0,1,0,1
1,0,0.109210526,0.016666667,2.67E-04,0,0,1,1,0.000463392,1
0,0,0.028947368,0.003774775,5.67E-05,0,0,1,1,0.005097312,1
0.5,0,0.253947368,0.071284895,0.001056023,0,0,1,1,0.02734013,1
0,0,0.142105263,0.023423423,2.35E-04,0,0,0,1,0.008341057,1
0.5,0,0.098684211,0.015495495,3.40E-04,0,0,1,1,0.000463392,1
0,0,0.180263158,0.060030961,0.001115631,0,0,1,1,0.001853568,1
0,0,0.013157895,0.001081081,1.07E-05,0,0,0,1,0.002780352,1
0,0,0.101315789,0.015045045,1.21E-04,0,0,0,1,0.004170528,1
0,0,0.005263158,2.95E-05,9.54E-06,0,0,1,1,0.000926784,1
1,1,0.225,0.035945946,3.77E-04,0,0,1,1,0.000926784,1
0,0,0.2,0.004654174,0.002904153,1,1,1,1,0.010194625,1
0,0,0.060526316,0.001333333,6.51E-04,0,0,1,1,0,1
0,0,0.010526316,0.000200901,1.36E-05,0,0,0,1,0,1
0,0,0.030263158,0.001207207,2.75E-04,0,0,1,1,0.001390176,1
0,0,0.207894737,0.055255901,0.00137334,0,0,0,1,0.056070436,1
0,0,0.040789474,0.004593033,0.001031529,0,0,1,1,0.004170528,1
0,0,0.003947368,0.001792793,3.16E-06,0,0,0,1,0.00231696,1
0,0,0.026315789,0.001648649,8.38E-05,0,0,1,1,0.003707136,1
0.25,0,0.063157895,0.006369369,8.54E-04,0,0,1,1,0.003243744,1
0.166666667,0,0.044736842,0.002522523,9.21E-04,0,0,0,1,0.00231696,1
0,0,0.061842105,0.000159459,5.69E-04,0,0,1,1,0.001390176,1
0,0,0.206578947,0.093039182,0.010506517,1,0,1,1,0.005560704,1
0.285714286,0,0.139473684,0.006846847,5.04E-04,1,0,1,1,0.050973123,1
0,0,0.013157895,0.000927928,2.93E-06,0,0,1,1,0,1
0,0,0.036842105,4.67E-05,1.00E-04,0,0,1,1,0.000463392,1
1,0,0.027631579,0.003702703,2.84E-05,0,0,1,1,0,1
0,0,0.026315789,0.000918919,2.23E-05,0,0,0,1,0.000926784,1
0.5,0,0.032894737,0.002351351,1.05E-04,0,0,0,1,0,1
0,0,0.060526316,0.00023964,7.25E-04,0,0,0,1,0.000463392,1
1,0,0.040789474,0.000743243,3.94E-05,0,0,0,1,0.000463392,1
0,0,0.015789474,0.001081081,4.92E-06,0,0,1,1,0,1
0,0,0.105263158,0.027837838,2.74E-04,0,0,1,1,0.000926784,1
0,0,0.021052632,0.003045045,4.52E-04,0,0,0,1,0.000463392,1
0,0,0.125,0.017747748,2.31E-04,0,0,1,1,0.025949954,1
0,0,0.196052632,0.029347297,0.001052404,0,0,1,1,0.037071362,1
